metabolite_name,chemical_formula,smiles,inchikey,name,uniprotkb
Butyric acid,C4H8O2,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,Histone deacetylase 2,Q92769
Butyric acid,C4H8O2,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,Histone deacetylase 3,O15379
Butyric acid,C4H8O2,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,Histone deacetylase 5,Q9UQL6
Butyric acid,C4H8O2,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,"Acyl-coenzyme A synthetase ACSM4, mitochondrial",P0C7M7
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",P35914
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Acyl-coenzyme A thioesterase 12,Q8WYK0
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,"Acetyl-coenzyme A synthetase, cytoplasmic",Q9NR19
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",Q9NUB1
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Serum paraoxonase/lactonase 3,Q15166
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Serum paraoxonase/arylesterase 1,P27169
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Serum paraoxonase/arylesterase 2,Q15165
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,4-trimethylaminobutyraldehyde dehydrogenase,P49189
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,"Aldehyde dehydrogenase, dimeric NADP-preferring",P30838
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Alpha-aminoadipic semialdehyde dehydrogenase,P49419
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Aldehyde dehydrogenase family 1 member A3,P47895
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,"Aldehyde dehydrogenase, mitochondrial",P05091
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Fatty aldehyde dehydrogenase,P51648
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,"Aldehyde dehydrogenase X, mitochondrial",P30837
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,UDP-glucuronosyltransferase 1-1,P22309
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Liver carboxylesterase 1,P23141
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Cocaine esterase,O00748
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,S-formylglutathione hydrolase,P10768
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Platelet-activating factor acetylhydrolase,Q13093
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Acetylcholinesterase,P22303
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Platelet-activating factor acetylhydrolase IB subunit gamma,Q15102
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Platelet-activating factor acetylhydrolase IB subunit beta,P68402
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,"Platelet-activating factor acetylhydrolase 2, cytoplasmic",Q99487
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Sialate O-acetylesterase,Q9HAT2
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Aldehyde dehydrogenase family 3 member B2,P48448
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Aldehyde dehydrogenase family 3 member B1,P43353
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Acylphosphatase-2,P14621
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Acylphosphatase-1,P07311
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Aminoacylase-1,Q03154
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Aspartoacylase,P45381
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Platelet-activating factor acetylhydrolase IB subunit alpha,P43034
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase,Q9Y2B2
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Aspartoacylase-2,Q96HD9
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,"Steroid 17-alpha-hydroxylase/17,20 lyase",P05093
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Monocarboxylate transporter 1,P53985
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Solute carrier organic anion transporter family member 2B1,O94956
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Putative N-acetylglucosamine-6-phosphate deacetylase,Q9Y303
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,"Citrate lyase subunit beta-like protein, mitochondrial",Q8N0X4
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,60 kDa lysophospholipase,Q86U10
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,ACSS2 protein,Q96FY7
Acetic acid,C2H4O2,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",Q9H6R3
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Peptidyl-glycine alpha-amidating monooxygenase,P19021
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Dopamine beta-hydroxylase,P09172
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,"Phytanoyl-CoA dioxygenase, peroxisomal",O14832
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Prolyl 4-hydroxylase subunit alpha-2,O15460
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Prolyl 4-hydroxylase subunit alpha-1,P13674
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Lactase-phlorizin hydrolase,P09848
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Gamma-butyrobetaine dioxygenase,O75936
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",Q02809
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",O00469
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",O60568
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Glutathione S-transferase omega-1,P78417
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Glutathione S-transferase omega-2,Q9H4Y5
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Protein disulfide-isomerase,P07237
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Solute carrier family 23 member 1,Q9UHI7
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Solute carrier family 23 member 2,Q9UGH3
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,"Trimethyllysine dioxygenase, mitochondrial",Q9NVH6
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 2,Q6NS38
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,Q96Q83
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Prolyl 3-hydroxylase 1,Q32P28
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Prolyl 3-hydroxylase 2,Q8IVL5
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Prolyl 3-hydroxylase 3,Q8IVL6
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Solute carrier family 23 member 3,Q6PIS1
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Prolyl 4-hydroxylase subunit alpha-3,Q7Z4N8
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Egl nine homolog 1,Q9GZT9
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Egl nine homolog 2,Q96KS0
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Egl nine homolog 3,Q9H6Z9
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Transmembrane prolyl 4-hydroxylase,Q9NXG6
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1,Q8N543
Ascorbic acid,C6H8O6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2,Q6N063
Melibiose,C12H22O11,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,DLRVVLDZNNYCBX-CQHUIXDMSA-N,Alpha-galactosidase A,P06280
Melibiose,C12H22O11,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,DLRVVLDZNNYCBX-CQHUIXDMSA-N,"Maltase-glucoamylase, intestinal",O43451
Melibiose,C12H22O11,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,DLRVVLDZNNYCBX-CQHUIXDMSA-N,Neutral alpha-glucosidase C,Q8TET4
Epinephrine,C9H13NO3,CNC[C@H](O)C1=CC(O)=C(O)C=C1,UCTWMZQNUQWSLP-VIFPVBQESA-N,Amine oxidase [flavin-containing] B,P27338
Epinephrine,C9H13NO3,CNC[C@H](O)C1=CC(O)=C(O)C=C1,UCTWMZQNUQWSLP-VIFPVBQESA-N,Amine oxidase [flavin-containing] A,P21397
Epinephrine,C9H13NO3,CNC[C@H](O)C1=CC(O)=C(O)C=C1,UCTWMZQNUQWSLP-VIFPVBQESA-N,Catechol O-methyltransferase,P21964
Epinephrine,C9H13NO3,CNC[C@H](O)C1=CC(O)=C(O)C=C1,UCTWMZQNUQWSLP-VIFPVBQESA-N,Phenylalanine-4-hydroxylase,P00439
Epinephrine,C9H13NO3,CNC[C@H](O)C1=CC(O)=C(O)C=C1,UCTWMZQNUQWSLP-VIFPVBQESA-N,Phenylethanolamine N-methyltransferase,P11086
Epinephrine,C9H13NO3,CNC[C@H](O)C1=CC(O)=C(O)C=C1,UCTWMZQNUQWSLP-VIFPVBQESA-N,Alpha-2A adrenergic receptor,P08913
Epinephrine,C9H13NO3,CNC[C@H](O)C1=CC(O)=C(O)C=C1,UCTWMZQNUQWSLP-VIFPVBQESA-N,Alpha-2B adrenergic receptor,P18089
Epinephrine,C9H13NO3,CNC[C@H](O)C1=CC(O)=C(O)C=C1,UCTWMZQNUQWSLP-VIFPVBQESA-N,Beta-1 adrenergic receptor,P08588
Epinephrine,C9H13NO3,CNC[C@H](O)C1=CC(O)=C(O)C=C1,UCTWMZQNUQWSLP-VIFPVBQESA-N,Beta-2 adrenergic receptor,P07550
Epinephrine,C9H13NO3,CNC[C@H](O)C1=CC(O)=C(O)C=C1,UCTWMZQNUQWSLP-VIFPVBQESA-N,Alpha-1A adrenergic receptor,P35348
Epinephrine,C9H13NO3,CNC[C@H](O)C1=CC(O)=C(O)C=C1,UCTWMZQNUQWSLP-VIFPVBQESA-N,Trace amine-associated receptor 1,Q96RJ0
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Tyrosinase,P14679
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Amine oxidase [flavin-containing] B,P27338
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Amine oxidase [flavin-containing] A,P21397
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Dopamine beta-hydroxylase,P09172
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Catechol O-methyltransferase,P21964
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Aromatic-L-amino-acid decarboxylase,P20711
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Amiloride-sensitive amine oxidase [copper-containing],P19801
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Membrane primary amine oxidase,Q16853
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Retina-specific copper amine oxidase,O75106
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Cytochrome P450 2C9,P11712
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Cytochrome P450 2C19,P33261
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Cytochrome P450 2D6,P10635
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Cytochrome P450 1A2,P05177
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Solute carrier family 22 member 5,O76082
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,D(2) dopamine receptor,P14416
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,D(4) dopamine receptor,P21917
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Sodium-dependent dopamine transporter,Q01959
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Solute carrier family 22 member 1,O15245
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Solute carrier family 22 member 2,O15244
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Solute carrier family 22 member 3,O75751
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Neuron-specific vesicular protein calcyon,Q9NYX4
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Calcium-dependent secretion activator 1,Q9ULU8
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Calcium-dependent secretion activator 2,Q86UW7
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,D(3) dopamine receptor,P35462
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,D(1A) dopamine receptor,P21728
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,D(1B) dopamine receptor,P21918
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Dopamine D4 receptor,Q99586
Dopamine,C8H11NO2,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Dopamine D4 receptor,Q99587
Dimethylamine,C2H7N,CNC,ROSDSFDQCJNGOL-UHFFFAOYSA-N,Amine oxidase [flavin-containing] B,P27338
Dimethylamine,C2H7N,CNC,ROSDSFDQCJNGOL-UHFFFAOYSA-N,Amine oxidase [flavin-containing] A,P21397
Dimethylamine,C2H7N,CNC,ROSDSFDQCJNGOL-UHFFFAOYSA-N,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",O94760
Dimethylamine,C2H7N,CNC,ROSDSFDQCJNGOL-UHFFFAOYSA-N,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",O95865
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Sulfotransferase family cytosolic 2B member 1,O00204
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Cytochrome P450 4A11,Q02928
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,UDP-glucuronosyltransferase 1-1,P22309
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Alcohol dehydrogenase [NADP(+)],P14550
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Alcohol dehydrogenase 4,P08319
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Alcohol dehydrogenase class-3,P11766
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Alcohol dehydrogenase 1B,P00325
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Alcohol dehydrogenase class 4 mu/sigma chain,P40394
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Alcohol dehydrogenase 1A,P07327
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Alcohol dehydrogenase 6,P28332
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Alcohol dehydrogenase 1C,P00326
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Cytochrome P450 3A4,P08684
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Cytochrome P450 2C9,P11712
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Cytochrome P450 2C19,P33261
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Cytochrome P450 2E1,P05181
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Cytochrome P450 2B6,P20813
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Cytochrome P450 1A1,P04798
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Cytochrome P450 1A2,P05177
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Voltage-dependent L-type calcium channel subunit alpha-1D,Q01668
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Voltage-dependent L-type calcium channel subunit alpha-1C,Q13936
